,date,value
562,2021-02-25,3829.34
563,2021-02-26,3811.15
564,2021-03-01,3901.82
565,2021-03-02,3870.29
566,2021-03-03,3819.72
567,2021-03-04,3768.47
568,2021-03-05,3841.94
569,2021-03-08,3821.35
570,2021-03-09,3875.44
571,2021-03-10,3898.81
572,2021-03-11,3939.34
573,2021-03-12,3943.34
574,2021-03-15,3968.94
575,2021-03-16,3962.71
576,2021-03-17,3974.12
577,2021-03-18,3915.46
578,2021-03-19,3913.1
579,2021-03-22,3940.59
580,2021-03-23,3910.52
581,2021-03-24,3889.14
582,2021-03-25,3909.52
583,2021-03-26,3974.54
584,2021-03-29,3971.09
585,2021-03-30,3958.55
586,2021-03-31,3972.89
587,2021-04-01,4019.87
589,2021-04-05,4077.91
590,2021-04-06,4073.94
591,2021-04-07,4079.95
592,2021-04-08,4097.17
593,2021-04-09,4128.8
594,2021-04-12,4127.99
595,2021-04-13,4141.59
596,2021-04-14,4124.66
597,2021-04-15,4170.42
598,2021-04-16,4185.47
599,2021-04-19,4163.26
600,2021-04-20,4134.94
601,2021-04-21,4173.42
602,2021-04-22,4134.98
603,2021-04-23,4180.17
604,2021-04-26,4187.62
605,2021-04-27,4186.72
606,2021-04-28,4183.18
607,2021-04-29,4211.47
608,2021-04-30,4181.17
609,2021-05-03,4192.66
610,2021-05-04,4164.66
611,2021-05-05,4167.59
612,2021-05-06,4201.62
613,2021-05-07,4232.6
614,2021-05-10,4188.43
615,2021-05-11,4152.1
616,2021-05-12,4063.04
617,2021-05-13,4112.5
618,2021-05-14,4173.85
619,2021-05-17,4163.29
620,2021-05-18,4127.83
621,2021-05-19,4115.68
622,2021-05-20,4159.12
623,2021-05-21,4155.86
624,2021-05-24,4197.05
625,2021-05-25,4188.13
626,2021-05-26,4195.99
627,2021-05-27,4200.88
628,2021-05-28,4204.11
630,2021-06-01,4202.04
631,2021-06-02,4208.12
632,2021-06-03,4192.85
633,2021-06-04,4229.89
634,2021-06-07,4226.52
635,2021-06-08,4227.26
636,2021-06-09,4219.55
637,2021-06-10,4239.18
638,2021-06-11,4247.44
639,2021-06-14,4255.15
640,2021-06-15,4246.59
641,2021-06-16,4223.7
642,2021-06-17,4221.86
643,2021-06-18,4166.45
644,2021-06-21,4224.79
645,2021-06-22,4246.44
646,2021-06-23,4241.84
647,2021-06-24,4266.49
648,2021-06-25,4280.7
649,2021-06-28,4290.61
650,2021-06-29,4291.8
651,2021-06-30,4297.5
652,2021-07-01,4319.94
653,2021-07-02,4352.34
655,2021-07-06,4343.54
656,2021-07-07,4358.13
657,2021-07-08,4320.82
658,2021-07-09,4369.55
659,2021-07-12,4384.63
660,2021-07-13,4369.21
661,2021-07-14,4374.3
662,2021-07-15,4360.03
663,2021-07-16,4327.16
664,2021-07-19,4258.49
665,2021-07-20,4323.06
666,2021-07-21,4358.69
667,2021-07-22,4367.48
668,2021-07-23,4411.79
669,2021-07-26,4422.3
670,2021-07-27,4401.46
671,2021-07-28,4400.64
672,2021-07-29,4419.15
673,2021-07-30,4395.26
674,2021-08-02,4387.16
675,2021-08-03,4423.15
676,2021-08-04,4402.66
677,2021-08-05,4429.1
678,2021-08-06,4436.52
679,2021-08-09,4432.35
680,2021-08-10,4436.75
681,2021-08-11,4447.7
682,2021-08-12,4460.83
683,2021-08-13,4468.0
684,2021-08-16,4479.71
685,2021-08-17,4448.08
686,2021-08-18,4400.27
687,2021-08-19,4405.8
688,2021-08-20,4441.67
689,2021-08-23,4479.53
690,2021-08-24,4486.23
691,2021-08-25,4496.19
692,2021-08-26,4470.0
693,2021-08-27,4509.37
694,2021-08-30,4528.79
695,2021-08-31,4522.68
696,2021-09-01,4524.09
697,2021-09-02,4536.95
698,2021-09-03,4535.43
700,2021-09-07,4520.03
701,2021-09-08,4514.07
702,2021-09-09,4493.28
703,2021-09-10,4458.58
704,2021-09-13,4468.73
705,2021-09-14,4443.05
706,2021-09-15,4480.7
707,2021-09-16,4473.75
708,2021-09-17,4432.99
709,2021-09-20,4357.73
710,2021-09-21,4354.19
711,2021-09-22,4395.64
712,2021-09-23,4448.98
713,2021-09-24,4455.48
714,2021-09-27,4443.11
715,2021-09-28,4352.63
716,2021-09-29,4359.46
717,2021-09-30,4307.54
718,2021-10-01,4357.04
719,2021-10-04,4300.46
720,2021-10-05,4345.72
721,2021-10-06,4363.55
722,2021-10-07,4399.76
723,2021-10-08,4391.34
724,2021-10-11,4361.19
725,2021-10-12,4350.65
726,2021-10-13,4363.8
727,2021-10-14,4438.26
728,2021-10-15,4471.37
